Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
Japan Credit Bureau,JCB,3576224587187539,Charles I Contreras,577,09/2014,09/2019,19,4107,54800
Visa,Chase,4014744677904418,Brandy Z Cochran,846,04/2007,04/2012,13,0982,100500
Discover,Discover,6011192200371275,Elsie L Stout,520,01/2014,01/2017,18,5937,169000
Master Card,Wells Fargo,5304049836875319,Ira Davenport,872,11/2012,11/2032,15,8705,47600
Master Card,USAA,5130384807148630,Jorge J Gates,870,11/2015,11/2032,28,4375,147600
Visa,Chase,4053155671788594,Tameka A Coffey,634,04/2009,04/2025,27,4819,105400
Japan Credit Bureau,JCB,3541019641479647,Anita B Lynn,548,11/2008,11/2026,4,3004,112100
Master Card,Chase,5308741887260302,Wm L Walsh,095,10/2014,10/2030,16,4275,12000
Master Card,Chase,5247708825246101,Bruce P Sullivan,505,11/2007,11/2024,20,9856,160800
American Express,USAA,344529944477622,Foster E Fleming,1748,12/2008,12/2013,15,4305,14300
Discover,Discover,6223165498987345,Peggy Harding,189,11/2016,11/2020,8,9254,17400
Master Card,Capital One,5232079223717433,Susan B Sandoval,722,03/2016,03/2019,17,3897,117100
Visa,Citibank,4937879753910394,Gloria G Savage,289,02/2012,02/2013,13,8376,49400
Master Card,Citibank,5335106614419307,Nicole Y Hodge,814,04/2011,04/2022,27,9091,163800
Japan Credit Bureau,JCB,3581415981589295,Cathy C Kane,336,05/2011,05/2030,9,6365,169800
Master Card,Citibank,5316761102236457,Marguerite U Griffin,993,08/2012,08/2013,1,0662,185600
Visa,Barclays,4953993346582070,Crystal Q Trujillo,691,03/2017,03/2029,26,6285,25000
Japan Credit Bureau,JCB,3579769974481066,Bennett Rich,101,02/2007,02/2022,19,3248,121600
American Express,Bank of America,372300821223199,Bernice Schneider,6602,04/2016,04/2026,28,2743,120000
Discover,Discover,6471752149071576,Deandre X Hale,142,11/2013,11/2029,17,7478,151600
Diners Club International,Diners Club,30241551305901,Joseph W Walters,737,08/2015,08/2018,17,0490,154400
Master Card,Chase,5405554201403074,Vito C Burns,844,01/2010,01/2029,22,9180,79100
Master Card,Wells Fargo,5354799824800054,Irene Mccormick,615,07/2010,07/2015,15,1805,18100
Japan Credit Bureau,JCB,3570875611306951,Kent I Hutchinson,000,10/2009,10/2020,22,2219,51900
American Express,American Express,379244460842245,Steven K Forbes,4489,03/2016,03/2021,24,2986,196500
Visa,Citibank,4200960356245493,Marguerite F Cooper,894,12/2017,12/2031,21,4026,11400
Visa,Chase,4554649855264657,Phillip Buchanan,299,08/2013,08/2027,19,2757,93900
Master Card,Bank of America,5340145672472835,Neil W York,906,08/2013,08/2017,11,5390,64600
Japan Credit Bureau,JCB,3539531696089554,Debbie N Bowman,063,05/2011,05/2026,4,7889,56500
Japan Credit Bureau,JCB,3553007606468601,Julian Vazquez,261,06/2016,06/2027,23,8568,24100
Japan Credit Bureau,JCB,3586664070411789,Tom Jensen,406,04/2016,04/2032,4,3879,184300
Discover,Discover,6454431006696939,Mary E Cardenas,119,10/2017,10/2027,10,0278,24900
Discover,Discover,6447372466099620,Jesus W Luna,470,10/2015,10/2035,14,0963,98100
Visa,Chase,4200369461200700,Cindy Y Roman,824,03/2013,03/2026,8,8637,178800
American Express,Bank of America,373253829574973,Earl X Larson,7700,01/2007,01/2010,7,8304,69700
Master Card,Wells Fargo,5473491111065452,Jared Y Lane,798,01/2007,01/2024,21,5609,129100
American Express,American Express,347645682941251,Emma Lott,3996,02/2013,02/2025,12,1654,172200
Japan Credit Bureau,JCB,3550393887886247,Yvette U Parsons,974,11/2011,11/2012,9,9018,174500
Japan Credit Bureau,JCB,3530269729578025,Jeffrey Z Leblanc,464,12/2012,12/2014,22,2300,46200
American Express,American Express,343615266611160,Elbert O Bryant,5077,06/2013,06/2018,7,0704,165300
American Express,U.S. Bancorp,371238098810291,Debra H Hickman,2730,10/2016,10/2035,22,7621,23400
Visa,Barclays,4385469808980498,Les West,397,05/2013,05/2031,26,9859,28700
Japan Credit Bureau,JCB,3540965008566809,Howard O Blackwell,464,11/2007,11/2015,6,6050,26700
American Express,American Express,340861577532314,Cheri I Love,1261,09/2009,09/2011,17,3137,122200
Visa,Chase,4555505471908284,Bonnie Avery,437,05/2012,05/2031,4,1768,125300
Diners Club International,Diners Club,38962970745524,Cora C Giles,706,10/2016,10/2035,1,5574,43700
American Express,American Express,379051225164173,Pamela X Santiago,6424,09/2010,09/2024,27,6936,18300
Japan Credit Bureau,JCB,3567217016782319,Harold Valentine,478,10/2015,10/2027,15,8891,85200
Visa,Chase,4444550776512071,Rosa W Kennedy,559,12/2008,12/2020,4,1774,90600
Japan Credit Bureau,JCB,3585084132678492,Doris Morrow,216,06/2009,06/2017,28,6251,62000
Diners Club International,Diners Club,38890514728898,Micheal U Merrill,618,02/2007,02/2024,4,5316,78000
Visa,Chase,4754169732081149,Alex Fields,681,02/2011,02/2026,19,5012,180000
American Express,Bank of America,340654617469674,Norma H Duran,0091,04/2013,04/2019,15,2125,171900
Japan Credit Bureau,JCB,3578533347884575,Desiree House,515,05/2013,05/2031,12,1560,98300
American Express,American Express,341405717535594,Henry Key,7188,02/2008,02/2021,13,2811,125800
American Express,American Express,341593429840814,Vicente Kelley,8057,01/2009,01/2019,5,4767,183700
American Express,American Express,342435061121807,Jason Poole,2528,02/2014,02/2019,25,8643,147400
American Express,American Express,340888319079734,Arnulfo L Kelley,9903,10/2013,10/2031,27,7154,69800
Master Card,Chase,5390997799884691,Chris J Donovan,823,09/2013,09/2014,8,3080,185000
Visa,Cabela’s WFB,4960688054275559,Harry Hoover,723,11/2010,11/2015,28,5301,133200
Master Card,Bank of America,5186990848879679,Regina A Buck,302,12/2013,12/2029,4,5521,155600
Visa,Chase,4543175274898085,Verna Lindsay,724,09/2014,09/2017,14,3583,142900
Discover,Discover,6011306608559196,Kimberly T Serrano,095,08/2008,08/2010,28,5105,100100
Visa,Barclays,4821394130793595,Margret K Robles,763,05/2013,05/2022,24,7790,31400
American Express,American Express,341689186962054,Victoria K Huber,6226,03/2009,03/2022,24,4852,56700
Diners Club International,Diners Club,30451067573633,Pat Taylor,414,10/2014,10/2027,24,7691,178800
Diners Club International,Diners Club,30593537495309,Brittany N Robinson,136,05/2016,05/2026,22,8974,62600
Japan Credit Bureau,JCB,3583590896339693,Susan Q Lloyd,267,04/2011,04/2021,8,0102,171400
Discover,Discover,6477421710207811,Ryan Smith,957,03/2010,03/2024,5,8661,172200
Discover,Discover,6011113983494076,Mercedes S Taylor,671,07/2010,07/2018,3,6531,175000
Discover,Discover,6011570124124260,Leroy Newton,214,01/2008,01/2018,13,4157,43700
American Express,American Express,379858664247677,Reed J Powell,5586,10/2007,10/2027,2,1949,176100
Diners Club International,Diners Club,30025529649411,Tom F Holcomb,303,12/2007,12/2017,22,3435,171100
American Express,American Express,346407306031220,Pearl A Mcpherson,6422,11/2007,11/2025,26,3764,186000
Master Card,GE Capital,5270337801661776,Floyd George,792,02/2016,02/2032,15,0290,34800
Japan Credit Bureau,JCB,3566652174860195,Randell M Richmond,965,11/2013,11/2016,17,2546,178500
Japan Credit Bureau,JCB,3572183116160736,Jimmy W Delaney,981,07/2017,07/2034,2,7155,94800
Master Card,Citibank,5322549026966958,Javier Dickson,591,09/2013,09/2029,13,8572,99900
Japan Credit Bureau,JCB,3584247690424135,Yvonne F Tyson,135,02/2013,02/2025,20,0458,145400
American Express,Bank of America,379291362895607,Darcy S Sanchez,0029,09/2008,09/2016,26,0765,146700
Master Card,Chase,5403902121452238,Brenda R Mcgowan,797,05/2014,05/2029,24,8829,98100
Visa,Wells Fargo,4739140650626397,Jermaine M Gonzales,738,07/2017,07/2024,1,7059,33900
Discover,Discover,6011309406953017,Grace P Kane,004,03/2013,03/2020,12,6974,178800
Visa,Wells Fargo,4501257982250609,Julie O Baker,240,11/2016,11/2022,20,7793,17700
Visa,Chase,4598611713910382,Dawn Dominguez,331,04/2013,04/2020,27,0520,48900
American Express,American Express,347986953449982,Eddie L Duncan,3060,06/2017,06/2034,19,6158,16200
Diners Club International,Diners Club,30301399778345,Virginia Strong,109,12/2013,12/2022,24,9659,14700
Master Card,Capital One,5227910642949206,Jodie R Barrera,494,05/2016,05/2032,15,2288,69000
American Express,American Express,379061703849328,Alex X Adkins,9388,03/2008,03/2015,9,1880,125000
Diners Club International,Diners Club,30451982794116,Kelly Z Dominguez,872,07/2016,07/2027,6,0041,95900
Master Card,Bank of America,5270011167820850,Joel Z Walton,577,06/2015,06/2034,26,6627,40200
American Express,Bank of America,370985820340820,Gerry Merritt,4252,09/2009,09/2023,19,8036,196600
Visa,Chase,4018330098346953,Ethel A Wall,228,07/2016,07/2032,5,7179,127600
Japan Credit Bureau,JCB,3587025271830921,Hannah R Colon,046,05/2012,05/2025,8,9019,120300
Japan Credit Bureau,JCB,3562132717636893,Melanie M Dodson,406,08/2013,08/2016,24,7565,107500
Visa,Chase,4555559545817203,Melinda X Keith,997,12/2013,12/2015,16,4104,191000
American Express,American Express,370515728822296,Amy N Hodge,2252,07/2007,07/2020,20,4838,174000
American Express,U.S. Bancorp,341030000617436,Debora C Church,2832,06/2012,06/2025,2,0956,130200
American Express,American Express,344720138565054,Eleanor Head,9103,01/2017,01/2035,17,9510,58800
Diners Club International,Diners Club,39838296967019,Kurtis J Figueroa,886,07/2017,07/2029,9,7499,61400
Diners Club International,Diners Club,30277472375094,Beverly R Hess,950,03/2011,03/2013,20,9460,105900
American Express,Bank of America,340707843702514,Joan V Mejia,2052,07/2013,07/2026,20,5169,41500
Diners Club International,Diners Club,30574956435588,Patrick Z Stafford,996,07/2015,07/2023,28,5137,110600
Master Card,Capital One,5169146037439442,Buddy J Higgins,407,11/2008,11/2011,18,8324,26600
Master Card,Bank of America,5459811295382936,Jeffery Puckett,661,02/2010,02/2027,18,6361,87000
Discover,Discover,6011245728624516,Gabriel F Wall,533,01/2013,01/2026,12,8835,135800
Diners Club International,Diners Club,30337762986297,Catherine N Franklin,581,06/2012,06/2013,17,3537,142600
Master Card,Bank of America,5302425016513767,Garrett N Stewart,634,08/2012,08/2030,20,7435,173300
Japan Credit Bureau,JCB,3557220842262318,Adam G Leblanc,500,11/2008,11/2022,24,8600,106400
Master Card,Chase,5324117337952345,Ollie F Whitley,434,12/2010,12/2028,20,5900,77100
Discover,Discover,6011450510649362,Keith William,492,11/2016,11/2034,10,3495,177000
Discover,Discover,6011644533621230,Mickey C Hatfield,361,09/2011,09/2021,25,6596,162200
Diners Club International,Diners Club,36107164173115,Jack H Simmons,649,02/2011,02/2021,4,6512,101000
Japan Credit Bureau,JCB,3536552648010871,Andrew Daniel,282,03/2013,03/2033,19,8485,67200
American Express,American Express,346488574071023,Brittany A Guerra,7990,08/2013,08/2030,3,9278,143100
American Express,American Express,374421696679980,Stacie W Good,2251,01/2009,01/2010,21,1133,122000
Discover,Discover,6011780635923239,Andrea F Vance,267,11/2007,11/2010,14,9739,124100
American Express,USAA,379013403288828,Ulysses Pugh,0299,05/2008,05/2021,27,0789,147600
Japan Credit Bureau,JCB,3560484376888444,Jill F Melendez,516,06/2010,06/2025,13,8912,70800
Master Card,Citibank,5173835602462102,Ada Richards,829,05/2008,05/2020,15,5095,70200
American Express,Bank of America,377311439331758,Derrick O York,9088,03/2009,03/2011,4,1760,182600
Diners Club International,Diners Club,30948653190698,Wilburn S Gilbert,910,10/2016,10/2019,12,5498,119400
American Express,Bank of America,375423538562126,Louis Foley,3676,11/2010,11/2011,27,4963,140700
Diners Club International,Diners Club,30905122567385,Roderick Wyatt,013,02/2017,02/2020,15,8908,142000
American Express,American Express,373762400390526,Renee Medina,2876,06/2013,06/2028,23,6925,121000
American Express,Bank of America,371463965648737,Joann T Horton,8300,07/2010,07/2027,16,2691,81000
Discover,Discover,6011229426855168,Marie Z Roach,863,11/2015,11/2019,14,7820,22200
Visa,Barclays,4670252452043605,Elnora Hicks,843,10/2008,10/2021,6,9531,105500
Japan Credit Bureau,JCB,3531858541453521,Zachary Dean,407,08/2017,08/2027,4,9983,123300
Japan Credit Bureau,JCB,3529903977468462,Gloria E Fletcher,015,11/2009,11/2029,24,1246,62700
American Express,American Express,376148035009805,Victor A Lindsay,2527,12/2013,12/2016,27,1474,159200
Japan Credit Bureau,JCB,3537229382174481,Glen N Carson,545,08/2010,08/2024,27,3110,66600
Master Card,Bank of America,5154480522193488,Amber X Salazar,854,06/2007,06/2024,17,8113,121900
Visa,U.S. Bancorp,4370818913146584,Mamie Sargent,371,11/2007,11/2021,14,2745,88800
Diners Club International,Diners Club,30587174842583,David Juarez,592,12/2017,12/2037,3,1804,62500
American Express,USAA,379282691240631,Duncan V Harper,6037,04/2015,04/2032,18,0141,79000
American Express,American Express,371972197519300,Lloyd Beard,3882,02/2013,02/2024,13,5461,14600
Visa,Capital One,4401419905542675,Joy Brock,712,07/2013,07/2021,10,7882,97900
Master Card,Chase,5338511033900588,Jennifer C Huber,478,11/2017,11/2036,18,7352,71000
Visa,Chase,4664690544763532,Ruben F Deleon,039,10/2011,10/2030,4,3119,183600
Visa,Wells Fargo,4569536628415323,Ashley Cooke,002,07/2011,07/2020,27,0163,118700
Visa,Citibank,4091588559152836,Jo B Mcdonald,539,09/2015,09/2017,3,5369,100100
Discover,Discover,6011721565450207,Alvin N Talley,614,08/2014,08/2030,20,2608,119000
Diners Club International,Diners Club,30425034594484,Clint Giles,714,02/2014,02/2033,2,6697,113800
Master Card,Capital One,5366799203101252,Ronnie V Burks,409,11/2009,11/2015,27,3884,152700
American Express,American Express,379000431017352,Newton Jones,8943,11/2010,11/2022,24,3341,191500
Japan Credit Bureau,JCB,3552627899182154,Teresa Boone,282,04/2008,04/2028,13,3793,72100
Master Card,Bank of America,5185014967526937,Alejandra Vang,077,07/2008,07/2021,1,0345,189900
Diners Club International,Diners Club,30939615986281,Alfred X Hudson,092,04/2010,04/2025,18,3842,165600
Master Card,Citibank,5206576790470736,Sharron F Goff,297,03/2016,03/2019,18,3263,47000
Visa,Chase,4528102319771472,Antonio C Kidd,526,02/2015,02/2032,1,7133,110100
Visa,Wells Fargo,4110234522665961,Kara Wyatt,134,03/2017,03/2035,21,3500,169500
Japan Credit Bureau,JCB,3538675630752032,Nancy A Horne,579,10/2014,10/2031,13,7346,183700
Visa,Chase,4139436263257208,Savannah S Mooney,613,02/2017,02/2035,15,6338,170100
Visa,Barclays,4657578093132143,Lauren U Turner,275,11/2010,11/2013,16,9649,17200
Japan Credit Bureau,JCB,3565541069367864,Karla D Lawson,544,10/2016,10/2020,22,3230,46600
American Express,American Express,343141425431325,Brent Marsh,1365,10/2007,10/2018,16,8822,94300
American Express,USAA,346083629495598,Lynn K May,3962,04/2013,04/2024,21,2410,149800
Master Card,Capital One,5156245994420018,Tony Ayers,812,09/2010,09/2020,20,2432,40400
American Express,USAA,379067859535553,Eugene C Morrow,9250,03/2008,03/2010,11,4384,137400
Visa,Chase,4644580746806574,Randy F Estes,721,01/2017,01/2030,4,9348,148300
American Express,American Express,376559118240929,Gwendolyn D Hill,3946,08/2009,08/2029,4,1372,196100
American Express,American Express,343032200965217,Melvin Y Graves,7230,01/2015,01/2033,4,6429,84600
American Express,American Express,348160992762040,Isabella V Farmer,6229,05/2016,05/2024,11,2250,74000
Master Card,USAA,5202421524434944,Cindy Y Barton,525,02/2015,02/2031,11,8683,178700
Diners Club International,Diners Club,39884679523581,Gretchen Ford,631,09/2011,09/2019,26,7071,61600
Discover,Discover,6595777047652756,Jeff Day,749,09/2008,09/2017,17,0719,95600
Visa,Chase,4908002693739196,Marcelo Y Marquez,303,03/2007,03/2009,21,7712,125600
American Express,American Express,375410651185397,Raymond Floyd,3026,07/2014,07/2034,7,9798,197500
Diners Club International,Diners Club,30045225316297,Reyna Q Doyle,605,11/2009,11/2019,17,3719,102100
Visa,Barclays,4261602847393609,Beth T Love,636,06/2011,06/2015,26,3298,110900
Master Card,Wells Fargo,5376699060650110,Eugenio Z Mclean,598,04/2015,04/2033,1,4908,96800
Visa,U.S. Bancorp,4389029712944604,Micheal H Workman,516,11/2008,11/2010,28,5909,90000
Discover,Discover,6011258514321312,Darla B Carver,927,02/2014,02/2020,4,4791,103400
Diners Club International,Diners Club,30582461102593,Nicole V Stevenson,664,09/2013,09/2023,14,4361,167400
Japan Credit Bureau,JCB,3579243674012464,Harley S Wright,179,05/2016,05/2035,5,1381,174000
Master Card,Chase,5282482427412059,Michael R Hess,677,06/2017,06/2030,12,0009,116700
Visa,Chase,4264898029748886,Bianca Preston,686,02/2011,02/2023,13,4439,56300
Master Card,Citibank,5458774044059570,Emma P Rosario,545,02/2009,02/2020,22,2079,66600
Diners Club International,Diners Club,30334165037109,Cary B Mcleod,845,01/2017,01/2030,19,0740,108700
Master Card,Capital One,5154640186821597,Manuel Buchanan,799,10/2015,10/2017,26,6893,132100
American Express,U.S. Bancorp,344061501336298,Leta W Shields,1066,01/2015,01/2019,5,1395,29200
Discover,Discover,6517991537960455,Manuel X Shepherd,441,06/2014,06/2034,12,0883,138500
Japan Credit Bureau,JCB,3546614137727130,Wanda U Robinson,763,04/2011,04/2028,25,7816,159000
Japan Credit Bureau,JCB,3552164928811033,Jorge Q Decker,788,10/2010,10/2013,7,7700,181600
Diners Club International,Diners Club,39536448173060,Diane Walton,904,02/2009,02/2014,12,5375,87600
Diners Club International,Diners Club,30041788600573,Leonard Armstrong,788,06/2015,06/2034,3,2247,150900
Diners Club International,Diners Club,38151058514446,Elwood M Roman,581,09/2012,09/2020,17,6315,177700
Visa,Barclays,4243085861115657,Roberta Bender,049,11/2014,11/2019,27,6933,195800
Master Card,Capital One,5344602027607420,Lilly Ortega,567,08/2009,08/2022,6,5989,71300
Discover,Discover,6011783959102786,Julia Q Salazar,327,08/2015,08/2019,8,7965,168000
Japan Credit Bureau,JCB,3565891648302696,Chadwick Cline,415,07/2012,07/2024,22,8976,78800
Visa,Chase,4115569860519956,Lawrence O Park,274,09/2014,09/2025,22,1998,112200
Diners Club International,Diners Club,30579355264323,Jamaal J Campbell,321,05/2013,05/2033,23,4146,179900
Diners Club International,Diners Club,30923739346234,Irene R Kent,703,05/2013,05/2031,12,5937,126000
Visa,PNC,4018815207497804,Harrison L William,895,09/2008,09/2014,22,0230,161000
Master Card,Citibank,5214698368352441,Joyce H Pollard,451,05/2016,05/2017,16,5231,44400
Visa,Citibank,4016371463218064,Nannie N Aguilar,602,01/2011,01/2022,11,5961,84500
Master Card,Capital One,5488615539945688,Jesus P Gould,438,05/2008,05/2009,8,8445,25700
Visa,Barclays,4965690404678230,Essie N Knight,645,01/2015,01/2035,17,1350,148500
Japan Credit Bureau,JCB,3559034038597579,Amber I Randall,798,03/2012,03/2027,2,8434,118900
Visa,GE Capital,4260522327873188,Eddie G Ochoa,460,09/2014,09/2022,3,9158,177900
Master Card,Capital One,5241400498297530,Florence F Mckee,827,01/2017,01/2026,22,2939,173400
Japan Credit Bureau,JCB,3557627757049953,Patti P Hale,650,10/2007,10/2013,15,8115,180000
Master Card,Chase,5362823910480843,Randy F Sullivan,114,01/2014,01/2026,11,9900,168900
Master Card,Bank of America,5158969936755078,Carmen Watson,274,03/2014,03/2020,5,1980,21700
Visa,Chase,4893767466780901,Lisa M Velazquez,388,08/2010,08/2016,14,5315,138000
Visa,Chase,4431177543256249,Cecil Q Mcpherson,866,09/2017,09/2027,22,0959,134700
Japan Credit Bureau,JCB,3587273341189486,Denise Chen,917,07/2012,07/2032,14,3948,46400
Visa,PNC,4935620311729054,Freddie K Welch,889,09/2017,09/2022,12,4593,71600
Diners Club International,Diners Club,30564600500853,Carmen Luna,091,02/2008,02/2012,10,5699,37700
Visa,Chase,4691014725336025,Loretta F Oliver,300,07/2009,07/2022,24,7632,145500
American Express,American Express,342107257270744,Walter Gould,7089,06/2015,06/2019,25,2955,171900
Visa,Chase,4458907155690618,Amalia A Pitts,874,11/2014,11/2027,26,2995,29000
Discover,Discover,6011772012629232,Bruce Church,389,10/2013,10/2020,9,6725,162000
American Express,American Express,377519050452147,April O Hubbard,2985,12/2009,12/2020,17,8355,20700
Diners Club International,Diners Club,38711685203836,Pamela Macias,957,10/2008,10/2017,16,1884,39800
American Express,American Express,377282876067462,Orlando S Livingston,9827,06/2017,06/2027,28,5419,91600
American Express,American Express,375168628704662,Barry Wise,9112,08/2016,08/2018,24,4320,72400
Diners Club International,Diners Club,38230285325402,Chrystal Y Martinez,988,08/2010,08/2018,2,3474,42300
American Express,American Express,372713037919832,Frank Q Howard,5822,11/2015,11/2031,15,5319,194000
Visa,Capital One,4172472174088737,Arturo T Tate,349,09/2015,09/2035,11,1240,160300
Diners Club International,Diners Club,36784405326981,Frances S Flynn,782,02/2015,02/2027,27,0981,30700
Master Card,USAA,5173027532573659,Carlene W Estrada,131,03/2009,03/2014,1,3620,101800
American Express,American Express,373531845082158,Jesse S Kent,2666,02/2008,02/2022,3,6993,68600
Master Card,Chase,5461200161886152,Salvador S Huff,306,09/2014,09/2022,21,2382,43900
Visa,Chase,4522280611702142,David S Raymond,290,11/2009,11/2027,2,1561,194400
Discover,Discover,6011692314519024,Sallie B Malone,218,04/2012,04/2013,8,2362,24500
Master Card,Citibank,5234142051744347,Adam L Obrien,243,07/2012,07/2021,19,1821,57800
American Express,USAA,341770261175281,Melanie J Christensen,2160,01/2014,01/2034,8,7226,92200
American Express,U.S. Bancorp,374811073779553,Cheryl H Coffey,7872,04/2011,04/2030,25,1545,48900
Master Card,Chase,5464614781624495,Isabella O Bentley,273,02/2007,02/2022,25,1368,129800
Diners Club International,Diners Club,30965611346824,Phillip G Durham,202,09/2014,09/2018,25,0432,22300
American Express,American Express,346845228085958,Emmett C Gibson,2929,07/2009,07/2015,21,7011,165000
Japan Credit Bureau,JCB,3541382806023851,Evelyn C Stephenson,524,09/2014,09/2024,13,7836,169300
Diners Club International,Diners Club,30278962297681,Guillermo Merrill,162,04/2014,04/2030,22,8054,130400
Master Card,Wells Fargo,5463254187497179,Carolyn Burgess,011,03/2011,03/2029,22,6198,123500
Visa,Capital One,4178852191289208,Angelica G Guy,014,02/2013,02/2031,17,4747,169900
Diners Club International,Diners Club,30508902244306,Albert Fitzgerald,521,10/2010,10/2016,16,2034,36900
Diners Club International,Diners Club,30982449079139,Olivia G Valencia,715,07/2016,07/2031,16,5746,168200
Visa,First National,4214840196757630,Anne K Ferguson,279,11/2013,11/2029,8,4765,185400
Master Card,Citibank,5290197103844371,Tricia L Mcbride,658,02/2009,02/2028,17,6615,76800
Diners Club International,Diners Club,30532819257185,Esther S Barber,643,04/2015,04/2028,12,6217,86100
Visa,USAA,4018316375111509,Matthew Mccullough,777,11/2011,11/2015,20,6334,187600
Japan Credit Bureau,JCB,3575306607800893,Evelyn N Heath,764,08/2013,08/2032,1,6089,53400
Japan Credit Bureau,JCB,3580445684742843,Dylan P Romero,485,01/2009,01/2015,8,5878,171000
American Express,U.S. Bancorp,344860756845303,Ricky Montoya,3290,09/2008,09/2010,17,1223,186400
Diners Club International,Diners Club,30597186939624,Arline G Guthrie,715,08/2013,08/2014,16,5429,117200
Master Card,Citibank,5380011737903126,Lois E Lowe,594,07/2016,07/2020,12,8962,191900
Visa,Chase,4425518762608297,Tara R Cunningham,580,07/2010,07/2029,5,9285,21800
Discover,Discover,6011906600538757,Kenneth Caldwell,451,03/2014,03/2023,1,7431,72800
American Express,American Express,343481521626257,Wallace B Guerra,2667,05/2014,05/2029,11,0020,97700
Diners Club International,Diners Club,30043120008820,Sheila S Mills,437,01/2013,01/2015,23,8044,47300
Diners Club International,Diners Club,30583856077564,Brett Steele,768,09/2008,09/2016,20,5976,161300
Visa,Chase,4299065935309182,Ramon F Padilla,381,08/2017,08/2034,15,8043,14700
Diners Club International,Diners Club,30918199359156,Erich David,762,06/2010,06/2012,22,8627,188800
Diners Club International,Diners Club,30405751877114,Herbert Cain,030,03/2007,03/2018,2,3397,70800
Visa,Chase,4523705206452082,Craig G Lowery,298,01/2012,01/2022,25,8892,197900
Visa,Chase,4083362988789117,Miguel Anthony,982,06/2014,06/2025,12,4863,10600
Japan Credit Bureau,JCB,3575803917090553,Louise U Stanton,130,03/2013,03/2016,1,3961,121900
Japan Credit Bureau,JCB,3562793349502702,Nathan L Buck,741,10/2010,10/2011,7,2516,177200
Japan Credit Bureau,JCB,3583517054087939,Stefan Q Barton,248,10/2017,10/2029,28,8679,19400
Master Card,Capital One,5370838346239357,Peter H Garcia,416,01/2013,01/2021,7,6580,171100
Discover,Discover,6011575650428613,Kris U Mcguire,047,10/2014,10/2020,6,8078,51800
Japan Credit Bureau,JCB,3544679448760882,Joshua N Woodard,644,12/2010,12/2028,23,4855,151300
Japan Credit Bureau,JCB,3579898064185095,Amparo Parker,798,02/2007,02/2021,12,0091,93200
Master Card,Bank of America,5118023775452642,Melvin Scott,566,04/2013,04/2033,7,9551,199500
Discover,Discover,6011177452260847,Mildred I Gomez,294,08/2009,08/2027,27,0036,25200
Visa,Bank of America,4898954587980090,Miguel Aguilar,340,08/2013,08/2032,18,8865,102600
Visa,Capital One,4462082460208383,Michele R Melendez,932,12/2007,12/2008,24,0905,102400
Master Card,Chase,5155536959833323,Danielle U Miles,314,10/2009,10/2025,11,1079,60000
American Express,American Express,346649855950199,Courtney Sanchez,6490,02/2013,02/2028,7,6052,66600
Master Card,U.S. Bancorp,5358779614591747,Leon F Wade,393,02/2007,02/2018,20,1522,16800
Master Card,U.S. Bancorp,5427118087887943,Madge S Larson,892,12/2012,12/2032,26,3316,101800
Master Card,Capital One,5393621519386855,Rebecca L Bowers,774,08/2010,08/2023,9,5194,122900
Diners Club International,Diners Club,36348553750093,Ben H Roman,227,10/2016,10/2036,11,2157,122100
Japan Credit Bureau,JCB,3537848197609520,Benjamin U Suarez,128,06/2013,06/2020,26,0359,115200
Master Card,Bank of America,5331981922448204,Lanny O Peck,001,05/2009,05/2010,20,7855,199800
Master Card,Chase,5478584638412507,Connie J Gomez,542,08/2016,08/2027,28,0937,27600
Visa,Chase,4700061901952041,Willie O Castro,911,06/2011,06/2021,12,9352,50300
Master Card,Capital One,5223279480488477,Edith Rogers,048,11/2010,11/2028,25,7994,121100
Visa,U.S. Bancorp,4215093457054904,Bridgette R Evans,613,02/2013,02/2033,23,9783,97900
Master Card,Chase,5254782696167530,Nicole Frazier,078,05/2010,05/2022,28,3142,63100
Visa,Chase,4099481265513685,Dillon C Ingram,961,12/2009,12/2011,20,1266,41100
Master Card,Chase,5396711608810084,Bobby O Raymond,284,07/2014,07/2018,10,9169,94200
Master Card,Chase,5155524842932056,Rolland V Chan,347,07/2017,07/2031,14,8009,199100
Master Card,U.S. Bancorp,5485147933819569,Juan Q Ashley,221,09/2015,09/2018,23,5712,125900
American Express,American Express,370698448762701,Jackie Farley,4162,10/2014,10/2020,21,4310,131800
Japan Credit Bureau,JCB,3532980215911029,Lillian X Dickerson,270,07/2010,07/2022,21,0273,172500
Discover,Discover,6011765600652624,Nestor Wolf,745,03/2011,03/2024,4,6489,101300
Visa,PNC,4132596529955882,Paul B Medina,463,03/2008,03/2019,19,7405,55700
Master Card,Bank of America,5393449284084798,Leonard J Hull,811,02/2014,02/2019,5,0336,150300
American Express,American Express,377566898306068,Bryan Stuart,9007,04/2011,04/2026,24,1376,171000
Master Card,Citibank,5147212559246628,Martina Emerson,262,05/2017,05/2021,28,8132,181000
Master Card,Citibank,5447077923193492,Gordon D Klein,447,12/2009,12/2022,3,0114,18000
Diners Club International,Diners Club,36783263896689,Mildred E Caldwell,619,06/2016,06/2033,7,1791,86700
Diners Club International,Diners Club,30929004520445,Rose L Craig,965,06/2008,06/2012,23,0764,179200
Discover,Discover,6011789974973341,Josue E Macias,375,11/2010,11/2026,1,1211,182200
